region	RMSE_q16	normalized
mobile390-top-full	12361.2	0.188620
mobile390-header	5547.57	0.0846505
mobile390-intro	11162.6	0.170331
mobile390-services-status	15484.2	0.236273
mobile390-categories	12639.4	0.192864
mobile390-language	9943.88	0.151734
mobile390-drawer	13814.4	0.210795
mobile390-footer-map-interior-masked	10594.0	0.161654
mobile390-footer-upper	14126.8	0.215561
mobile390-footer-after-map	11737.3	0.179100
desktop1024-top-full	10469.3	0.159751
desktop1024-header	13776.7	0.210219
desktop1024-contact	15952.6	0.243421
desktop1024-gallery-visible	6085.84	0.0928639
desktop1024-footer-map-interior-masked	15711.2	0.239737
desktop1280-top-full	9978.33	0.152260
desktop1280-header	16220.7	0.247512
desktop1280-contact	16117.2	0.245933
desktop1280-gallery-visible	5925.77	0.0904214
desktop1280-footer-map-interior-masked	12485.5	0.190517
