region	RMSE_q16	normalized
mobile390-top-full	12769.7	0.194854
mobile390-header	5547.57	0.0846505
mobile390-intro	11162.6	0.170331
mobile390-services-status	16892.3	0.257760
mobile390-categories	12757.5	0.194667
mobile390-language	9970.79	0.152145
mobile390-drawer	14542.7	0.221907
mobile390-footer-normalized-map-masked	9805.17	0.149617
mobile390-footer-upper	14139.6	0.215756
mobile390-footer-after-map	7623.68	0.116330
desktop1024-top-full	10881.9	0.166048
desktop1024-header	13794.0	0.210483
desktop1024-contact	17131.7	0.261413
desktop1024-gallery-visible	6085.84	0.0928639
desktop1024-footer-normalized-map-masked	14093.7	0.215055
desktop1280-top-full	10218.3	0.155921
desktop1280-header	16203.7	0.247252
desktop1280-contact	17000.1	0.259405
desktop1280-gallery-visible	5925.77	0.0904214
desktop1280-footer-normalized-map-masked	12552.2	0.191534
